STA_AWAL,STA_AKHIR,Panjang,Fungsi,Nm_Ruas,No
0+300,0+399,389,Lingkungan Sekunder,Jl. Gang Sentiaki 1,282
0+000,0+100,198,Lingkungan Sekunder,Jl. Gang Sentiaki 2,283
0+100,0+195,198,Lingkungan Sekunder,Jl. Gang Sentiaki 2,284
0+100,0+200,264,Lokal sekunder,Jl. Gang Tangah,285
0+000,0+100,264,Lokal sekunder,Jl. Gang Tangah,286
0+200,0+260,264,Lokal sekunder,Jl. Gang Tangah,287
0+000,0+034,36,Lingkungan Sekunder,Jl. Gareng,288
0+200,0+300,350,Lingkungan Sekunder,Jl. Gatot Kaca,289
1+000,1+100,350,Lingkungan Sekunder,Jl. Gatot Kaca,293
0+000,0+100,350,Lingkungan Sekunder,Jl. Gatot Kaca,290
0+100,0+200,350,Lingkungan Sekunder,Jl. Gatot Kaca,291
0+300,0+347,350,Lingkungan Sekunder,Jl. Gatot Kaca,292
0+000,0+100,350,Lingkungan Sekunder,Jl. Gatot Kaca,294
0+100,0+200,350,Lingkungan Sekunder,Jl. Gatot Kaca,295
0+200,0+300,350,Lingkungan Sekunder,Jl. Gatot Kaca,296
0+300,0+400,350,Lingkungan Sekunder,Jl. Gatot Kaca,297
0+400,0+500,350,Lingkungan Sekunder,Jl. Gatot Kaca,298
0+500,0+600,350,Lingkungan Sekunder,Jl. Gatot Kaca,299
0+600,0+700,350,Lingkungan Sekunder,Jl. Gatot Kaca,300
0+700,0+800,350,Lingkungan Sekunder,Jl. Gatot Kaca,301
0+800,0+900,350,Lingkungan Sekunder,Jl. Gatot Kaca,302
0+900,1+000,350,Lingkungan Sekunder,Jl. Gatot Kaca,303
1+100,1+138,350,Lingkungan Sekunder,Jl. Gatot Kaca,304
0+000,0+031,10,Lingkungan Sekunder,Jl. Gg Borobudur,305
0+000,0+100,235,Lingkungan Sekunder,Jl. Gg Trobanyu,306
0+100,0+106,235,Lingkungan Sekunder,Jl. Gg Trobanyu,307
0+000,0+024,51,Lingkungan Sekunder,Jl. Gg. Apel,308
0+000,0+100,122,Lingkungan Sekunder,Jl. GG. Duren,309
0+100,0+124,122,Lingkungan Sekunder,Jl. GG. Duren,310
0+000,0+100,105,Lingkungan Sekunder,Jl. Gg. Jambe,311
0+100,0+103,105,Lingkungan Sekunder,Jl. Gg. Jambe,312
0+000,0+096,90,Lingkungan Sekunder,Jl. GG. Jambu,313
0+000,0+100,186,Lingkungan Sekunder,Jl. Gg. Jeruk,314
0+100,0+110,186,Lingkungan Sekunder,Jl. Gg. Jeruk,315
0+000,0+100,125,Lingkungan Sekunder,Jl. Gg. Kelapa,316
0+100,0+128,125,Lingkungan Sekunder,Jl. Gg. Kelapa,317
0+000,0+100,79,Lokal Sekunder,Jl. Gg. Kelurahan,318
0+100,0+131,79,Lokal Sekunder,Jl. Gg. Kelurahan,319
0+000,0+075,200,Lingkungan Sekunder,Jl. Gg. Mlinjo,320
0+000,0+079,273,Lingkungan Sekunder,Jl. Gg. Nanas,321
0+000,0+086,122,Lingkungan Sekunder,Jl. Gg. Salak,322
0+000,0+100,169,Lingkungan Sekunder,Jl. H.Seto,323
0+100,0+173,169,Lingkungan Sekunder,Jl. H.Seto,324
0+000,0+100,206,Lokal sekunder,Jl. Iromito,325
0+100,0+197,206,Lokal sekunder,Jl. Iromito,326
0+000,0+098,102,Lingkungan Sekunder,Jl. Jambu,327
0+000,0+100,105,Lingkungan Sekunder,Jl. K.A.Moch Basari,328
0+100,0+109,105,Lingkungan Sekunder,Jl. K.A.Moch Basari,329
0+000,0+100,86,Lingkungan Sekunder,Jl. Kamboja,330
0+100,0+118,86,Lingkungan Sekunder,Jl. Kamboja,331
0+200,0+300,250,Lokal Sekunder,Jl. Kanal Kembar (RT.11 RW.5),332
0+000,0+100,250,Lokal Sekunder,Jl. Kanal Kembar (RT.11 RW.5),333
0+100,0+200,250,Lokal Sekunder,Jl. Kanal Kembar (RT.11 RW.5),334
0+300,0+333,250,Lokal Sekunder,Jl. Kanal Kembar (RT.11 RW.5),335
0+300,0+400,305,Lingkungan Sekunder,Jl. Kantil,336
0+000,0+100,305,Lingkungan Sekunder,Jl. Kantil,337
0+100,0+200,305,Lingkungan Sekunder,Jl. Kantil,338
0+200,0+300,305,Lingkungan Sekunder,Jl. Kantil,339
0+400,0+425,305,Lingkungan Sekunder,Jl. Kantil,340
0+000,0+100,187,Lingkungan Sekunder,Jl. Kebon Pisang,341
0+100,0+191,187,Lingkungan Sekunder,Jl. Kebon Pisang,342
0+200,0+300,386,Lingkungan Sekunder,Jl. Ki Ageng Bandar Alim,343
0+000,0+100,386,Lingkungan Sekunder,Jl. Ki Ageng Bandar Alim,344
0+100,0+200,386,Lingkungan Sekunder,Jl. Ki Ageng Bandar Alim,345
0+300,0+389,386,Lingkungan Sekunder,Jl. Ki Ageng Bandar Alim,346
0+500,0+600,601,Lingkungan Sekunder,Jl. Ki. Ageng Basyariyah,347
0+000,0+100,601,Lingkungan Sekunder,Jl. Ki. Ageng Basyariyah,348
0+100,0+200,601,Lingkungan Sekunder,Jl. Ki. Ageng Basyariyah,349
0+200,0+300,601,Lingkungan Sekunder,Jl. Ki. Ageng Basyariyah,350
0+300,0+400,601,Lingkungan Sekunder,Jl. Ki. Ageng Basyariyah,351
0+400,0+500,601,Lingkungan Sekunder,Jl. Ki. Ageng Basyariyah,352
0+600,0+607,601,Lingkungan Sekunder,Jl. Ki. Ageng Basyariyah,353
0+000,0+037,38,Lingkungan Sekunder,Jl. Ki. Ageng Basyariyah Gang 1,354
0+000,0+044,44,Lingkungan Sekunder,Jl. Ki. Ageng Basyariyah Gang 2,355
0+000,0+040,52,Lingkungan Sekunder,Jl. Ki. Ageng Basyariyah Gang 3,356
0+000,0+053,51,Lingkungan Sekunder,Jl. Ki. Ageng Basyariyah Gang 4,357
0+000,0+024,24,Lingkungan Sekunder,Jl. Ki. Ageng Basyariyah Gang 5,358
0+000,0+050,107,Lingkungan Sekunder,Jl. Kiwi,359
0+100,0+200,255,Lingkungan Sekunder,Jl. Kontak Tani,360
0+000,0+100,255,Lingkungan Sekunder,Jl. Kontak Tani,361
0+200,0+259,255,Lingkungan Sekunder,Jl. Kontak Tani,362
0+000,0+100,123,Lokal sekunder,Jl. Kresno,363
0+100,0+117,123,Lokal sekunder,Jl. Kresno,364
0+400,0+500,510,Lokal sekunder,Jl. Krisna,365
0+000,0+100,510,Lokal sekunder,Jl. Krisna,366
0+100,0+200,510,Lokal sekunder,Jl. Krisna,367
0+200,0+300,510,Lokal sekunder,Jl. Krisna,368
0+300,0+400,510,Lokal sekunder,Jl. Krisna,369
0+500,0+506,510,Lokal sekunder,Jl. Krisna,370
0+100,0+200,231,Lingkungan Sekunder,Jl. Lapangan,371
0+000,0+100,231,Lingkungan Sekunder,Jl. Lapangan,372
0+200,0+231,231,Lingkungan Sekunder,Jl. Lapangan,373
0+000,0+100,329,Lingkungan Sekunder,Jl. Manggis,374
0+100,0+165,329,Lingkungan Sekunder,Jl. Manggis,375
0+500,0+600,684,Lokal sekunder,Jl. Masjid,376
0+000,0+100,684,Lokal sekunder,Jl. Masjid,377
0+100,0+200,684,Lokal sekunder,Jl. Masjid,378
0+200,0+300,684,Lokal sekunder,Jl. Masjid,379
0+300,0+400,684,Lokal sekunder,Jl. Masjid,380
0+400,0+500,684,Lokal sekunder,Jl. Masjid,381
0+600,0+687,684,Lokal sekunder,Jl. Masjid,382
0+700,0+800,369,Lokal Sekunder,Jl. Mawar,383
0+000,0+100,369,Lokal Sekunder,Jl. Mawar,384
0+100,0+200,369,Lokal Sekunder,Jl. Mawar,385
0+200,0+300,369,Lokal Sekunder,Jl. Mawar,386
0+300,0+400,369,Lokal Sekunder,Jl. Mawar,387
0+400,0+500,369,Lokal Sekunder,Jl. Mawar,388
0+500,0+600,369,Lokal Sekunder,Jl. Mawar,389
0+600,0+700,369,Lokal Sekunder,Jl. Mawar,390
0+800,0+831,369,Lokal Sekunder,Jl. Mawar,391
0+000,0+100,143,Lingkungan Sekunder,Jl. Mawar 1,392
0+100,0+140,143,Lingkungan Sekunder,Jl. Mawar 1,393
0+200,0+300,297,Lingkungan Sekunder,Jl. Mawar 2,394
0+000,0+100,297,Lingkungan Sekunder,Jl. Mawar 2,395
0+100,0+200,297,Lingkungan Sekunder,Jl. Mawar 2,396
0+300,0+301,297,Lingkungan Sekunder,Jl. Mawar 2,397
0+400,0+500,406,Lokal sekunder,Jl. Melati,398
0+000,0+100,406,Lokal sekunder,Jl. Melati,399
0+100,0+200,406,Lokal sekunder,Jl. Melati,400
0+200,0+300,406,Lokal sekunder,Jl. Melati,401
0+300,0+400,406,Lokal sekunder,Jl. Melati,402
0+500,0+502,406,Lokal sekunder,Jl. Melati,403
0+000,0+100,193,Lingkungan Sekunder,Jl. Nangka,404
0+100,0+194,193,Lingkungan Sekunder,Jl. Nangka,405
0+000,0+100,132,Lokal sekunder,Jl. Panji 1,406
0+100,0+125,132,Lokal sekunder,Jl. Panji 1,407
0+000,0+100,118,Lokal sekunder,Jl. Panji 2,408
0+100,0+115,118,Lokal sekunder,Jl. Panji 2,409
0+000,0+100,201,Lokal sekunder,Jl. Panji 3,410
0+100,0+170,201,Lokal sekunder,Jl. Panji 3,411
0+100,0+200,225,Lokal sekunder,Jl. Patimura,412
0+000,0+100,225,Lokal sekunder,Jl. Patimura,413
0+200,0+230,225,Lokal sekunder,Jl. Patimura,414
0+200,0+300,403,Lokal sekunder,Jl. Pemuda,415
0+000,0+100,403,Lokal sekunder,Jl. Pemuda,416
0+100,0+200,403,Lokal sekunder,Jl. Pemuda,417
0+300,0+398,403,Lokal sekunder,Jl. Pemuda,418
0+000,0+100,101,Lokal sekunder,Jl. Pemuda Gang I,419
0+100,0+102,101,Lokal sekunder,Jl. Pemuda Gang I,420
0+000,0+100,101,Lokal sekunder,Jl. Pemuda Gang II,421
0+100,0+102,101,Lokal sekunder,Jl. Pemuda Gang II,422
0+000,0+100,102,Lokal sekunder,Jl. Pemuda Gang III,423
0+100,0+103,102,Lokal sekunder,Jl. Pemuda Gang III,424
0+000,0+100,100,Lokal sekunder,Jl. Pemuda Gang IV,425
0+100,0+102,100,Lokal sekunder,Jl. Pemuda Gang IV,426
0+000,0+100,100,Lokal sekunder,Jl. Pemuda Gang V,427
0+000,0+100,101,Lingkungan Sekunder,Jl. Pemuda Gang VI,428
0+100,0+102,101,Lokal sekunder,Jl. Pemuda Gang VI,429
0+000,0+100,142,Lokal sekunder,Jl. Pemuda Gang VII,430
0+100,0+146,142,Lokal sekunder,Jl. Pemuda Gang VII,431
0+000,0+052,36,Lokal sekunder,Jl. Pemuda Gang VIII,432
0+000,0+100,175,Lokal Sekunder,Jl. Pepaya,433
0+100,0+171,175,Lokal Sekunder,Jl. Pepaya,434
0+000,0+100,125,Lingkungan Sekunder,Jl. Petruk,435
0+100,0+133,125,Lingkungan Sekunder,Jl. Petruk,436
0+000,0+100,108,Lingkungan Sekunder,Jl. Pisang,437
0+000,0+091,108,Lingkungan Sekunder,Jl. Pisang,439
0+100,0+170,108,Lingkungan Sekunder,Jl. Pisang,438
0+400,0+500,587,Lokal sekunder,Jl. Puntodewo,440
0+000,0+100,587,Lokal sekunder,Jl. Puntodewo,441
0+100,0+200,587,Lokal sekunder,Jl. Puntodewo,442
0+200,0+300,587,Lokal sekunder,Jl. Puntodewo,443
0+300,0+400,587,Lokal sekunder,Jl. Puntodewo,444
0+500,0+567,587,Lokal sekunder,Jl. Puntodewo,445
0+000,0+074,113,Lingkungan Sekunder,Jl. Puntuk I,446
0+000,0+077,78,Lingkungan Sekunder,Jl. Puntuk II,447
0+200,0+300,316,Lokal sekunder,Jl. Rajawali,448
0+000,0+100,316,Lokal sekunder,Jl. Rajawali,449
0+100,0+200,316,Lokal sekunder,Jl. Rajawali,450
0+300,0+311,316,Lokal sekunder,Jl. Rajawali,451
0+000,0+100,140,Lokal sekunder,Jl. Rajawali Gg.1,452
0+100,0+136,140,Lokal sekunder,Jl. Rajawali Gg.1,453
0+000,0+097,103,Lingkungan Sekunder,Jl. Rambutan,454
0+100,0+200,220,Lingkungan Sekunder,Jl. Remaja,455
0+000,0+100,220,Lingkungan Sekunder,Jl. Remaja,456
0+200,0+220,220,Lingkungan Sekunder,Jl. Remaja,457
0+000,0+051,52,Lokal sekunder,Jl. Remaja Gang 1,458
0+000,0+052,54,Lokal sekunder,Jl. Remaja Gang 2,459
0+000,0+062,65,Lokal sekunder,Jl. Remaja Gang 3,460
0+000,0+100,143,Lokal sekunder,Jl. Rukun,461
0+100,0+142,143,Lokal sekunder,Jl. Rukun,462
0+000,0+100,172,Lingkungan Sekunder,Jl. Sadewo,463
0+100,0+174,172,Lingkungan Sekunder,Jl. Sadewo,464
0+200,0+300,255,Lingkungan Sekunder,Jl. Sawung Galing,465
0+000,0+100,255,Lingkungan Sekunder,Jl. Sawung Galing,466
0+100,0+200,255,Lingkungan Sekunder,Jl. Sawung Galing,467
0+300,0+392,255,Lingkungan Sekunder,Jl. Sawung Galing,468
0+000,0+100,178,Lingkungan Sekunder,Jl. Selo Barong,469
0+100,0+148,178,Lingkungan Sekunder,Jl. Selo Barong,470
0+000,0+100,122,Lingkungan Sekunder,Jl. Semar,471
0+100,0+107,122,Lingkungan Sekunder,Jl. Semar,472
0+000,0+100,106,Lokal sekunder,Jl. Sri Dewi,473
0+100,0+106,106,Lokal sekunder,Jl. Sri Dewi,474
0+300,0+400,457,Lingkungan Sekunder,Jl. Srikandi,475
0+000,0+100,457,Lingkungan Sekunder,Jl. Srikandi,476
0+100,0+200,457,Lingkungan Sekunder,Jl. Srikandi,477
0+200,0+300,457,Lingkungan Sekunder,Jl. Srikandi,478
0+400,0+432,457,Lingkungan Sekunder,Jl. Srikandi,479
0+100,0+200,200,Lokal Sekunder,Jl. Sukodono (RT.11 RW.5),480
0+000,0+100,200,Lokal Sekunder,Jl. Sukodono (RT.11 RW.5),481
0+200,0+213,200,Lokal Sekunder,Jl. Sukodono (RT.11 RW.5),482
0+200,0+300,320,Lokal sekunder,Jl. Sultan Agung,483
0+000,0+100,320,Lokal sekunder,Jl. Sultan Agung,484
0+100,0+200,320,Lokal sekunder,Jl. Sultan Agung,485
0+300,0+322,320,Lokal sekunder,Jl. Sultan Agung,486
0+300,0+400,195,Lingkungan Sekunder,Jl. Tani Jaya,487
0+000,0+100,195,Lingkungan Sekunder,Jl. Tani Jaya,488
0+100,0+200,195,Lingkungan Sekunder,Jl. Tani Jaya,489
0+200,0+300,195,Lingkungan Sekunder,Jl. Tani Jaya,490
0+400,0+400,195,Lingkungan Sekunder,Jl. Tani Jaya,491
0+200,0+300,350,Lingkungan Sekunder,Jl. Tani Maju,492
0+000,0+100,350,Lingkungan Sekunder,Jl. Tani Maju,493
0+100,0+200,350,Lingkungan Sekunder,Jl. Tani Maju,494
0+300,0+348,350,Lingkungan Sekunder,Jl. Tani Maju,495
0+400,0+500,584,Lingkungan Sekunder,Jl. Tani Murni,496
0+000,0+100,584,Lingkungan Sekunder,Jl. Tani Murni,497
0+100,0+200,584,Lingkungan Sekunder,Jl. Tani Murni,498
0+200,0+300,584,Lingkungan Sekunder,Jl. Tani Murni,499
0+300,0+400,584,Lingkungan Sekunder,Jl. Tani Murni,500
0+500,0+578,584,Lingkungan Sekunder,Jl. Tani Murni,501
0+600,0+700,772,Lingkungan Sekunder,Jl. Tani Unggul,502
0+000,0+100,772,Lingkungan Sekunder,Jl. Tani Unggul,503
0+100,0+200,772,Lingkungan Sekunder,Jl. Tani Unggul,504
0+200,0+300,772,Lingkungan Sekunder,Jl. Tani Unggul,505
0+300,0+400,772,Lingkungan Sekunder,Jl. Tani Unggul,506
0+400,0+500,772,Lingkungan Sekunder,Jl. Tani Unggul,507
0+500,0+600,772,Lingkungan Sekunder,Jl. Tani Unggul,508
0+700,0+763,772,Lingkungan Sekunder,Jl. Tani Unggul,509
0+000,0+100,155,Lingkungan Sekunder,Jl. Tomat,510
0+100,0+159,155,Lingkungan Sekunder,Jl. Tomat,511
0+000,0+100,142,Lokal sekunder,Jl. Werkudoro,512
0+100,0+138,142,Lokal sekunder,Jl. Werkudoro,513
0+200,0+300,345,Lingkungan Sekunder,Jl. Wijaya,514
0+000,0+100,345,Lingkungan Sekunder,Jl. Wijaya,515
0+100,0+200,345,Lingkungan Sekunder,Jl. Wijaya,516
0+300,0+341,345,Lingkungan Sekunder,Jl. Wijaya,517
0+000,0+054,58,Lingkungan Sekunder,Jl. Wiroto,518
0+000,0+095,98,Lingkungan Sekunder,Jl. Wiroto II,519
1+400,1+500,1523,Lingkungan Sekunder,Jl.Antarejo,520
0+000,0+100,1523,Lingkungan Sekunder,Jl.Antarejo,521
0+100,0+200,1523,Lingkungan Sekunder,Jl.Antarejo,522
0+200,0+300,1523,Lingkungan Sekunder,Jl.Antarejo,523
0+300,0+400,1523,Lingkungan Sekunder,Jl.Antarejo,524
0+400,0+500,1523,Lingkungan Sekunder,Jl.Antarejo,525
0+500,0+600,1523,Lingkungan Sekunder,Jl.Antarejo,526
0+600,0+700,1523,Lingkungan Sekunder,Jl.Antarejo,527
0+700,0+800,1523,Lingkungan Sekunder,Jl.Antarejo,528
0+800,0+900,1523,Lingkungan Sekunder,Jl.Antarejo,529
0+900,1+000,1523,Lingkungan Sekunder,Jl.Antarejo,530
1+000,1+100,1523,Lingkungan Sekunder,Jl.Antarejo,531
1+100,1+200,1523,Lingkungan Sekunder,Jl.Antarejo,532
1+200,1+300,1523,Lingkungan Sekunder,Jl.Antarejo,533
1+300,1+400,1523,Lingkungan Sekunder,Jl.Antarejo,534
1+500,1+500,1523,Lingkungan Sekunder,Jl.Antarejo,535
0+200,0+300,335,Lingkungan Sekunder,Jl.Chery,536
0+000,0+100,335,Lingkungan Sekunder,Jl.Chery,537
0+100,0+200,335,Lingkungan Sekunder,Jl.Chery,538
0+300,0+329,335,Lingkungan Sekunder,Jl.Chery,539
0+100,0+200,153,Lingkungan Sekunder,Jl.Gang Asem 1,540
0+000,0+100,153,Lingkungan Sekunder,Jl.Gang Asem 1,541
0+200,0+206,153,Lingkungan Sekunder,Jl.Gang Asem 1,542
0+000,0+100,249,Lingkungan Sekunder,Jl.Gang Gatot Kaca 1,543
0+100,0+198,249,Lingkungan Sekunder,Jl.Gang Gatot Kaca 1,544
0+000,0+100,118,Lingkungan Sekunder,Jl.Gang Gatot Kaca 2,545
0+100,0+117,118,Lingkungan Sekunder,Jl.Gang Gatot Kaca 2,546
0+000,0+100,104,Lingkungan Sekunder,Jl.Gang Gatot Kaca 3,547
0+100,0+102,104,Lingkungan Sekunder,Jl.Gang Gatot Kaca 3,548
0+000,0+100,125,Lokal Sekunder,"Jl.Gg pisang (RT.3,4 RW.1)",549
0+100,0+128,125,Lokal sekunder,"Jl.Gg pisang (RT.3,4 RW.1)",550
0+000,0+100,150,Lokal Sekunder,Jl.Gg. Kertorejan,551
0+100,0+127,150,Lokal sekunder,Jl.Gg. Kertorejan,552
0+000,0+096,50,Lokal Sekunder,Jl.Gg. Timur Kecamatan,553
0+900,1+000,1078,Lokal sekunder,Jl.Sentiaki,554
0+000,0+100,1078,Lokal sekunder,Jl.Sentiaki,555
0+100,0+200,1078,Lokal sekunder,Jl.Sentiaki,556
0+200,0+300,1078,Lokal sekunder,Jl.Sentiaki,557
0+300,0+400,1078,Lokal sekunder,Jl.Sentiaki,558
0+400,0+500,1078,Lokal sekunder,Jl.Sentiaki,559
0+500,0+600,1078,Lokal sekunder,Jl.Sentiaki,560
0+600,0+700,1078,Lokal sekunder,Jl.Sentiaki,561
0+700,0+800,1078,Lokal sekunder,Jl.Sentiaki,562
0+800,0+900,1078,Lokal sekunder,Jl.Sentiaki,563
1+000,1+085,1078,Lokal sekunder,Jl.Sentiaki,564
